Title,Content
Who am I?,"My name is Yutong Pan, I'm currently a junior major in Informatics. I am tremendously passionate about the future of web design and development."
Where did I go to school? ,University of Washington. Go Huskies!
What are my skills? ,"CSS, HTML, JavaScript/Jquery, AngularJS"
