Image,Name,Description,Links
img/projects/1,First Website,"This is the first website that I made, it was super simple and basic.",http://students.washington.edu/yutonp/info343/git-started/
img/projects/2,Dawg Cofee,This is a web page with many of the built-in functionalities associated with HTML elements and CSS styles and it can be adjust depends on different screens.,http://students.washington.edu/yutonp/info343/dawg-coffee/
img/projects/3,Shooting Map,This is a web page about creating an interactive map of the crowdsourced police shootings data that was crowdsourced from Deadspin last fall.,http://students.washington.edu/yutonp/info343/shooting-map/
img/projects/4,Film Review,"This is a web application with centralized data storage and authentication, which used Parse.",http://students.washington.edu/yutonp/info343/Review/
img/projects/5,Spotify Search,This is a web application with Angular that accesses data from the Spotify API.,http://students.washington.edu/yutonp/info343/spotify-template/
